YAL069W,335,649
YAL068W-A,538,792
YAL067W-A,2480,2707
YAL066W,10091,10399
YAL064W-B,12046,12426
YAL064W,21566,21850
YAL062W,31567,32940
YAL061W,33448,34701
YAL060W,35155,36303
YAL059W,36509,37147
YAL058W,37464,38972
YAL056W,39259,41901
YAL055W,42177,42719
YAL053W,45899,48250
YAL051W,48564,51707
YAL047W-A,54584,54913
YAL044W-A,57518,57850
YAL042W,61316,62563
YAL041W,62840,65404
YAL038W,71786,73288
YAL037W,74020,74823
YAL035W,76427,79435
YAL034W-A,79718,80587
YAL033W,82706,83227
YAL031W-A,84669,84977
YAL030W,87286,87752
YAL028W,92900,94486
YAL027W,94687,95472
HRA1,99305,99868
YAL019W-A,114250,114819
YAL019W,114919,118314
YAL017W,120225,124295
YAL016W,124879,126786
YAL013W,129270,130487
YAL012W,130799,131983
YAL011W,132199,134076
YAL009W,135854,136633
YAL008W,136914,137510
tP(UGG)A,139152,139254
YAL004W,140760,141407
YAL003W,142174,143160
snR18,142367,142468
YAL002W,143707,147531
YAR002W,152257,153876
YAR003W,155005,156285
YAR008W,158966,159793
tA(UGC)A,166267,166339
YAR015W,169375,170295
YAR019W-A,174998,175330
tL(CAA)A,181141,181254
YAR027W,183770,184477
YAR028W,184892,185596
YAR029W,186321,186545
YAR031W,186836,187732
YAR033W,188107,188811
YAR035W,190193,192256
YAR042W,192619,196185
YAR050W,203403,208016
YAR053W,208367,208663
YAR061W,218140,218343
YAR062W,218549,219145
YAR064W,220198,220497
YAR066W,221049,221660
YAR068W,222406,222891
YAR071W,225460,226863
YAR073W,227742,228953
YAR075W,228844,229317
YBL113W-A,646,1128
YBL109W,5790,6125
YBL108W,8177,8482
YBL107W-A,9268,9372
tL(UAA)B1,9583,9666
YBL102W,24098,24745
YBL100W-C,28427,28546
YBL100W-B,29935,35248
YBL100W-A,29935,31251
tF(GAA)B,36398,36488
YBL099W,37053,38690
YBL098W,39145,40527
YBL097W,40831,43095
YBL095W,43277,44089
YBL092W,45978,46370
YBL090W,48825,49358
YBL089W,49574,50953
YBL085W,63876,66818
YBL081W,71866,72972
YBL079W,75259,79767
YBL077W,80897,81328
YBL073W,87646,87957
snR56,88190,88277
YBL071W-A,89978,90226
YBL069W,90741,92030
YBL068W-A,91794,92030
YBL068W,92414,93394
YBL065W,99963,100307
YBL063W,101886,105221
YBL062W,105308,105688
YBL060W,107932,109995
YBL059W,110594,111244
YBL058W,111437,112708
YBL056W,113762,115168
YBL054W,117589,119166
YBL053W,119335,119709
YBL050W,125125,126119
YBL049W,126828,127244
YBL048W,127299,127610
YBL046W,132424,133749
YBL044W,135998,136366
YBL043W,136688,137461
YBL041W,141247,141972
YBL039W-B,143393,143572
YBL038W,146187,146885
YBL037W,147209,150286
YBL032W,160184,161329
YBL031W,161699,162715
YBL029W,166134,167264
YBL027W,168423,169376
YBL026W,170623,171038
YBL025W,171481,171918
YBL024W,172534,174588
YBL020W,182401,184125
YBL019W,184353,185915
YBL016W,192451,193512
YBL015W,194122,195702
tI(AAU)B,197494,197567
YBL013W,202056,203261
YBL011W,203538,205817
YBL009W,207194,209224
YBL008W-A,209409,209648
YBL008W,209653,212175
YBL006W-A,216711,216860
